Student_ID,Semester,Total_Marks
1,1,365
2,3,376
3,1,411
4,3,436
5,2,366
6,2,472
7,1,407
8,2,404
9,1,441
10,2,370
11,3,467
12,2,440
13,2,399
14,2,406
15,2,333
16,1,330
17,2,372
18,1,465
19,2,459
20,1,425
21,1,365
22,3,447
23,2,300
24,2,473
25,3,382
26,3,454
27,2,473
28,3,389
29,2,331
30,1,463
31,1,412
32,2,338
33,2,446
34,3,398
35,2,354
36,1,483
37,2,379
38,2,332
39,3,444
40,3,469
41,2,478
42,2,349
43,2,309
44,1,407
45,1,450
46,1,480
47,3,385
48,2,468
49,2,311
50,2,465
51,2,456
52,2,466
53,1,435
54,2,406
55,2,343
56,3,315
57,3,320
58,3,481
59,2,336
60,3,478
61,2,301
62,2,305
63,1,308
64,1,419
65,2,339
66,3,376
67,2,458
68,3,388
69,2,452
70,3,478
71,1,459
72,2,301
73,2,375
74,1,338
75,3,420
76,2,434
77,2,482
78,1,476
79,3,425
80,2,369
81,2,439
82,3,389
83,2,379
84,2,467
85,3,402
86,2,335
87,2,318
88,3,329
89,3,320
90,2,361
91,2,430
92,1,356
93,2,483
94,2,377
95,1,453
96,1,396
97,2,480
98,2,403
99,3,433
100,2,468
101,2,420
102,1,327
103,2,370
104,2,404
105,2,307
106,2,435
107,2,477
108,3,462
109,1,414
110,2,305
111,3,371
112,2,333
113,2,312
114,2,310
115,2,445
116,3,402
117,1,456
118,2,359
119,2,393
120,3,479
121,1,406
122,1,381
123,2,324
124,3,372
125,3,472
126,2,413
127,2,453
128,1,479
129,3,406
130,3,383
131,2,436
132,2,370
133,3,406
134,3,386
135,2,306
136,2,370
137,2,321
138,3,380
139,3,398
140,2,316
141,1,419
142,2,443
143,3,422
144,2,352
145,2,335
146,2,373
147,3,363
148,2,354
149,2,373
150,2,469
151,2,362
152,2,450
153,3,461
154,1,397
155,1,336
156,2,381
157,3,450
158,3,384
159,1,469
160,2,450
161,2,453
162,2,416
163,2,335
164,2,383
165,2,406
166,3,376
167,2,444
168,1,460
169,2,440
170,3,397
171,1,394
172,3,460
173,1,345
174,2,316
175,1,418
176,2,413
177,2,405
178,2,344
179,3,406
180,1,342
181,2,357
182,2,481
183,1,366
184,2,454
185,3,372
186,2,443
187,1,380
188,1,331
189,2,362
190,2,350
191,3,331
192,1,363
193,3,413
194,2,377
195,2,416
196,1,431
197,3,330
198,1,311
199,1,358
200,2,468
