Feature_Name,Score
concave points_worst,964.3853934517133
perimeter_worst,897.9442188597807
concave points_mean,861.6760200073146
radius_worst,860.7817069850373
perimeter_mean,697.235272476532
area_worst,661.6002055336272
radius_mean,646.9810209786473
area_mean,573.0607465682366
concavity_mean,533.7931262035503
concavity_worst,436.69193940305007
compactness_mean,313.23307856764205
compactness_worst,304.3410629037628
radius_se,268.8403269673446
perimeter_se,253.89739178268252
area_se,243.65158577774116
texture_worst,149.59690468605072
smoothness_worst,122.47288045844209
